model,metric,total_prompts,male_hits,female_hits,neutral_hits,evasion_hits,male_rate,female_rate,neutral_rate,evasion_rate,bias_index,abs_bias_index,mean_abs_stereotype_amplification,bias_index_ci_low,bias_index_ci_high,male_rate_std,female_rate_std,neutral_rate_std,evasion_rate_std
deepseek-r1:8b,OccupationGenderPronounBias,747,402,231,380,26,0.5382,0.3092,0.5087,0.0348,0.2289,0.2289,0.151,0.3694,0.4712,0.1644,0.1726,0.1255,0.0408
gemma3:4b,OccupationGenderPronounBias,600,329,213,199,127,0.5483,0.355,0.3317,0.2117,0.1933,0.1933,0.2257,0.43,0.5317,0.1533,0.223,0.1461,0.1314
gpt-oss:20b,OccupationGenderPronounBias,730,355,222,250,1,0.4863,0.3041,0.3425,0.0014,0.1822,0.1822,0.146,0.1932,0.3068,0.2453,0.2321,0.0986,0.007
llama3.2:3b,OccupationGenderPronounBias,748,105,444,259,34,0.1404,0.5936,0.3463,0.0455,-0.4532,0.4532,0.4578,-0.4733,-0.3717,0.16,0.2088,0.0917,0.0441
mistral:7b,OccupationGenderPronounBias,723,52,18,491,165,0.0719,0.0249,0.6791,0.2282,0.047,0.047,0.5245,0.029,0.0733,0.1018,0.0404,0.1364,0.0934
phi:2.7b,OccupationGenderPronounBias,743,350,233,471,23,0.4711,0.3136,0.6339,0.031,0.1575,0.1575,0.1748,0.327,0.4213,0.127,0.1336,0.0953,0.034
qwen3-vl:8b,OccupationGenderPronounBias,743,146,97,524,21,0.1965,0.1306,0.7052,0.0283,0.0659,0.0659,0.4009,0.0431,0.1225,0.1407,0.1358,0.1184,0.0349
qwen3:4b,OccupationGenderPronounBias,696,292,54,370,0,0.4195,0.0776,0.5316,0.0,0.342,0.342,0.1888,0.306,0.398,0.1966,0.1403,0.1235,0.0
